CommUnits
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
"cove",,,"012-SEAD","Residential","us",,,,,,06/29/2016,"12 Seadrift Landing",,,,"Tiburon","CA","94920",4850.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-BARB","Residential","us",,,,,,08/20/2016,"14 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,0,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-CAPT","Residential","us",,,,,,03/31/2016,"14 Captains Landing",,,,"Tiburon","CA","94920",4380.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-CHAN","Residential","us",,,,,,08/31/2015,"14 Channel Landing",,,,"Tiburon","CA","94920",4845.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-GNWD","Residential","us",,,,,,03/30/2016,"14 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4775.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-SALT","Residential","us",,,,,,12/05/2014,"14 Salt Landing",,,,"Tiburon","CA","94920",6425.00,1375.000000,1,0,"3x3-a",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"014-SEAD","Residential","us",,,,,,08/22/2016,"14 Seadrift Landing",,,,"Tiburon","CA","94920",6425.00,1335.000000,0,0,"3x2.5th",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-BARB","Residential","us",,,,,,04/24/2015,"15 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,1,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-CAPT","Residential","us",,,,,,03/30/2016,"15 Captains Landing",,,,"Tiburon","CA","94920",6070.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-CHAN","Residential","us",,,,,,08/31/2015,"15 Channel Landing",,,,"Tiburon","CA","94920",4900.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-GNWD","Residential","us",,,,,08/24/2016,08/24/2016,"15 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4750.00,1080.000000,0,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-SALT","Residential","us",,,,,,08/03/2016,"15 Salt Landing",,,,"Tiburon","CA","94920",5125.00,1080.000000,1,0,"2x2-d",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"015-SEAD","Residential","us",,,,,,03/19/2015,"15 Seadrift Landing",,,,"Tiburon","CA","94920",4795.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"016-BARB","Residential","us",,,,,,04/25/2015,"16 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,1,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
